"title.standard","domain.category","domain.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","mem"
"CHIEF MEDICAL OFFICER","industry-specific","medical","","","","","","X","","X","","","","","","","","",""
"CHIEF NURSING OFFICER","industry-specific","medical","","","","","","X","","X","","","","","","","","",""
"CHIEF OF STAFF","operations","administration","Executive Secretaries and Executive Administrative Assistants","43","43-6000","43-6010","43-6011","X","","","","X","","","","","","",""
"CHIEF OPERATING OFFICER","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","","X","","","","","","","","",""
"CHIEF PARTNERSHIP OFFICER","operations","comms-pr","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF PHILANTHROPY OFFICER","operations","fundraising and membership","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF PROGRAMS OFFICER","operations","programs and events","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF RELATIONS OFFICER","operations","comms-pr","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF SCIENTIFIC OFFICER","operations","research and development","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF STRATEGY OFFICER","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF SUSTAINABILITY OFFICER","operations","facilities","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF TECHNOLOGY OFFICER","operations","technology","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CIVIC DIRECTOR","industry-specific (operations?)","comms-pr","Social and community service managers","11","11-9000","11-9050","11-9051","X","","","X","","","","","","","",""
"CLERK","operations","administration","Financial clerk?","","","","","X","","","","","X","","","","","",""
"CLINICAL DIRECTOR","industry-specific","medical","","","","","","X","","","X","","","","","","","",""
"CLUB MANAGER","operations","administration","Miscellaneous Managers","11","11-9000","11-9190","11-9199","X","","","","X","","","","","","",""
"CMO","operations","marketing-pr","Chief medical officer?","","","","","X","","X","","","","","","","","",""
"COLLECTIONS","industry-specific","arts and history","","","","","","X","","","","","X","","","","","",""
"COLLECTIONS MANAGER","industry-specific","arts and history","","","","","","X","","","","X","","","","","","",""
"COMMISSIONER","xxx","xxx","","","","","","","","","","","","","","","","",""
"COMMITTEE CHAIR","board","board","board","board","board","board","board","","","","","","","X","","","","","X"
"COMMODO","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIONS","operations","comms-pr","Miscellaneous Media and Communication Workers","27","27-3000","27-3090","27-3099","X","","","","","X","","","","","",""
"COMMUNITY RELATIONS","operations","comms-pr","","","","","","X","","","","","X","","","","","",""
"COMPLIANCE DIRECTOR","operations","legal","","","","","","X","","","X","","","","","","","",""
"COMPLIANCE OFFICER","operations","legal","","","","","","X","","","","","X","","","","","",""
"COMPOSER","industry-specific","arts and history","Musicians, singers, and related workers","27","27-2000","27-2040","27-2041","X","","","","","X","","","","","",""
"COMPTROLLER","operations","finance","Miscellaneous Financial Specialists","13","13-2000","13-2090","13-2099","X","","","","","X","","","","","",""
"COMPTROLLER","operations","finance","","","","","","X","","","","","X","","","","","",""
"CONCESSIONS","","","","","","","","","","","","","","","","","","",""
"CONDUCTOR","industry-specific","arts and history","Musicians, singers, and related workers","27","27-2000","27-2040","","X","","","","","X","","","","","",""
"CONSULTANT","operations","business development","","","","","","X","","","","","X","","","","","",""
"CONTRACT COMPLIANCE","operations","legal","","","","","","X","","","","","X","","","","","",""
"CONTRACTOR TRUSTEE","board","board","","","","","","","","","","","","X","","","","",""
"COO","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"COORDINATOR","operations","administration","","","","","","X","","","","","X","","","","","",""
"CORPORATE SECRETARY","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","","X","","","","","X","","","","","",""
"COUNCIL CHAIR","board","board","","","","","","","","","","","","X","","","","",""
"COUNCIL PRESIDENT","board","board","","","","","","","","","","","","X","X","","","",""
"COUNCILMAN","board","board","","","","","","","","","","","","X","","","","",""
"COUNSELOR","industry-specific","social services","Counselors","21","21-1000","21-1010","","X","","","","","X","","","","","",""
"CREATIVE DIRECTOR","industry-specific","arts and history","artistic director vs. marketing?","","","","","X","","","X","","","","","","","",""
"CURATOR","industry-specific","arts and history","Archivists, Curators, and Museum Technicians","25","25-4000","25-4010","25-4012","X","","","","","X","","","","","",""
"CUSTODIAN","operations","facilities","","","","","","X","","","","","X","","","","","",""
"DEACON","industry-specific","religion","","","","","","X","","","","","X","","","","","",""
"DEAN","industry-specific","higher education","Education and childcare administrators","11","11-9000","11-9030","11-9033","X","","","X","","","","","","","",""
"DEPUTY CEO","operations","administration","","","","","","X","X","","","","","","","","","",""
"DEPUTY CHIEF","","","","","","","","","","","","","","","","","","",""
"DEPUTY DIRECTOR","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"DEPUTY GRAND","","","","","","","","","","","","","","","","","","",""
"DEPUTY GRAND KNIGHT","","","","","","","","","","","","","","","","","","",""
"DEVELOPMENT","operations","fundraising and membership","Fundraisers","13","13-1000","13-1130","13-1131","X","","","","","X","","","","","",""
"DEVELOPMENT MANAGER","operations","fundraising and membership","","","","","","X","","","","X","","","","","","",""
"DEVELOPMENT OFFICER","operations","fundraising and membership","","","","","","X","","","","","X","","","","","",""
"DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"DIRECTOR ALUMNA","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF ACADEMICS","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF ACQUISITIONS","operations","business development","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF ADMINISTRATION","operations","administration","Administrative services and facilities managers","11","11-3000","11-3010","11-3012","X","","","X","","","","","","","",""
"DIRECTOR OF ADVANCEMENT","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"DIRECTOR OF BUDGET AND ANALYTICS","operations","finance","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF BUSINESS","operations","business development","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF BUSINESS DEVELOPMENT","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"DIRECTOR OF COLLECTIONS","industry-specific","arts and history","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF COMMITTEE","board","board","board","board","board","board","board","","","","","","","X","","","","","X"
"DIRECTOR OF COMMUNICATIONS","operations","comms-pr","Advertising and Promotions Managers","11","11-2000","11-2010","11-2011","X","","","X","","","","","","","",""
"DIRECTOR OF CONTENT","","","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF CORPORATE X","","","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF DEVELOPMENT","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"DIRECTOR OF EDUCATION","industry-specific","education","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF ENGAGEMENT","","","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF ENGINEERING","operations","engineering and architecture","Architectural and Engineering Managers","11","11-9000","11-9040","11-9041","X","","","X","","","","","","","",""
"DIRECTOR OF EVENTS","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF EXHIBITIONS","industry-specific","arts and history","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF EXTERNAL AFFAIRS","operations","comms-pr","Public relations and fundraising managers","11","11-2000","11-2030","11-2032","X","","","X","","","","","","","",""
"DIRECTOR OF FACILITIES","operations","facilities","Administrative services and facilities managers","11","11-3000","11-3010","11-3012","X","","","X","","","","","","","",""
"DIRECTOR OF FINANCE","operations","finance","financial manager","11","11-3000","11-3030","11-3031","X","","","X","","","","","","","",""
"DIRECTOR OF FINANCE AND ADMINISTRATION","operations","finance","financial manager","11","11-3000","11-3030","11-3031","X","","","X","","","","","","","",""
"DIRECTOR OF FINANCE AND OPERATIONS","operations","finance","financial manager","11","11-3000","11-3030","11-3031","X","","","X","","","","","","","",""
"DIRECTOR OF FUNDRAISING","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"DIRECTOR OF HUMAN RESOURCES","operations","human resources","Human resources managers","11","11-3000","11-3120","11-3121","X","","","X","","","","","","","",""
"DIRECTOR OF INFORMATION TECHNOLOGY","operations","technology","Computer and information system manager","11","11-3000","11-3020","11-3021","X","","","X","","","","","","","",""
"DIRECTOR OF LEGAL AFFAIRS","operations","legal","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF LEGISLATIVE AFFAIRS","operations","legal","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF MAJOR GIFTS","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF MARKETING","operations","marketing-sales","Marketing and sales managers","11","11-2000","11-2020","11-2021","X","","","X","","","","","","","",""
"DIRECTOR OF MARKETING AND COMMUNICATIONS","","","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF MEMBERSHIP","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"DIRECTOR OF MUSIC","industry-specific","arts and history","Musicians, singers, and related workers","27","27-2000","27-2040","27-2041","X","","","X","","","","","","","",""
"DIRECTOR OF NURSING","industry-specific","medical","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF OPERATIONS","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"DIRECTOR OF PRODUCTION","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","X","","","","","","","",""
"DIRECTOR OF PROGRAMS","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF PUBLIC AFFAIRS","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF PUBLIC RELATIONS","operations","comms-pr","Public relations and fundraising managers","11","11-2000","11-2030","11-2032","X","","","X","","","","","","","",""
"DIRECTOR OF PUBLICITY","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF RESEARCH","operations","research and development","Life, physical, and social science and research occupations","19","","","","X","","","X","","","","","","","",""
"DIRECTOR OF RISK MANAGEMENT","operations","business development","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF SALES","operations","marketing-sales","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF SECURITY","operations","facilities","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF STRATEGY AND ENGAGEMENT","","","","","","","","X","","","X","","","","","","","",""
"DIRECTOR OF TECHNOLOGY","operations","technology","Computer and information system manager","11","11-3000","11-3020","11-3021","X","","","X","","","","","","","",""
"DIRECTOR VICE CHAIR","operations","administration","","","","","","X","","","X","","","","","","","",""
"DIVISION DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"DOCTOR","industry-specific","medical","","","","","","X","","","","","X","","","","","",""
"EDITOR","operations","writers and editors","Writers and editors","27","27-3000","27-3040","27-3041","X","","","","X","","","","","","",""
"EDITOR IN CHIEF","operations","writers and editors","Writers and editors","27","27-3000","27-3040","27-3041","X","","","X","","","","","","","",""
"EDUCATION","industry-specific","education","","","","","","X","","","","","X","","","","","",""
"EDUCATION COORDINATOR","operations","education","","","","","","X","","","","","X","","","","","",""
"EDUCATION INSTRUCTOR","industry-specific","education","","","","","","X","","","","","X","","","","","",""
"EDUCATION MN","industry-specific","education","","","","","","X","","","","","X","","","","","",""
"EDUCATOR","industry-specific","education","","","","","","X","","","","","X","","","","","",""
